,has_online_delivery,currency,name,cuisines,location.address,location.city,user_rating.rating_text
714,0,Rs.,McDonald's,Fast Food,"BR Patna Elphinstone, Elphinstone Picture Palace , East Gandhi Maidan, Golambar, Patna",Patna,Average
715,0,Rs.,Raj Rasoi,"North Indian, South Indian, Fast Food","Twin Tower Hathwa, South Gandhi Maidan, Lodipur, Patna",Patna,Average
716,0,Rs.,Sri Basant Vihar,"North Indian, Fast Food","Maurya Lok Complex, Fraser Road Area, Patna",Patna,Good
717,0,Rs.,Nirvana,"North Indian, Chinese","Bhagwathi Saran Enclave, Boring Road, Near JP Hospital, Boring Road Sri Krishnapuri, Sri Krishnapuri, Patna",Patna,Average
718,0,Rs.,Spice Court - Hotel Maurya,"North Indian, Continental, Chinese, South Indian","Hotel Maurya, South Gandhi Maidan, Lodipur, Patna",Patna,Good
719,0,Rs.,KFC,Fast Food,"Ground floor, Regent Theatre, Opposite East Gandhi Maidan, Golambar, Patna",Patna,Average
720,0,Rs.,Angeethi,"North Indian, Mughlai, Chinese","101, Gharonda Complex, Jagdeo Path Crossing, Bailey Road, Khajpura, Patna",Patna,Average
721,1,AED,Grand Barbeque Buffet Restaurant,"Indian, Asian","Al Mina Road, Next to Ibis Styles Jumeirah Hotel, Satwa, Dubai",Dubai,Very Good
722,0,AED,Farzi Cafe,"International, Indian","CITY WALK, Al Safa & Al Wasl Road Intersection, Al Safa, Dubai",Dubai,Excellent
723,0,AED,AB's Absolute Barbecues,"Continental, Indian","Mezzanaine Floor, Centurion Star Tower, Deira City Centre Area, Dubai",Dubai,Excellent
724,0,AED,AB's Absolute Barbecues,"Indian, Continental","Shop G05, Sidra Tower, Near GEMS Wellington School, Exit 36, Sheikh Zayed Road, Dubai Media City, Dubai",Dubai,Excellent
725,0,AED,SpiceKlub,"Indian, North Indian, Street Food","Opposite Aster Hospital, Near Sharaf DG, Kuwait Street, Mankhool, Dubai",Dubai,Very Good
726,1,AED,Grub Shack,"Goan, Chinese, Indian, North Indian","Building 41, Next to Dubai Healthcare City Metro Station, Dubai Healthcare City, Umm Hurair, Dubai",Dubai,Very Good
727,0,AED,The Farm,"Mediterranean, Italian, Thai, European","Al Barari Villas, Opposite Falcon City, Al Barari, Dubai",Dubai,Good
728,0,AED,The Cheesecake Factory,"American, Desserts","Ground Level, Near Aquarium, The Dubai Mall, Downtown Dubai, Dubai",Dubai,Excellent
729,0,AED,Tresind - Nassima Royal Hotel,Indian,"Level 2, Nassima Royal Hotel, Sheikh Zayad Road, Trade Centre Area, Dubai",Dubai,Excellent
730,0,AED,Hard Rock Cafe,"American, Burger","Next to Marks & Spencer's, Festival City, Dubai",Dubai,Excellent
731,0,AED,Red Lobster,"Seafood, American","Near the Fountain, Lower Ground Level, The Dubai Mall, Downtown Dubai, Dubai",Dubai,Average
732,1,AED,The Coffee Club,Cafe,"Wasl Vita, Opposite Civil Defence Station, Near Emirates NBD, Al Wasl Road, Jumeirah 1, Dubai",Dubai,Excellent
733,0,AED,SALT,"Fast Food, Burger","Kite Beach, Street 2D, Umm Suqeim, Dubai",Dubai,Very Good
734,0,AED,Barbeque Nation,"Indian, North Indian","G1, Villa, Near HQ Fitness, Near Lulu Mall, Barsha 2, Dubai",Dubai,Excellent
735,0,AED,Parker's,"Cafe, Burger","The Dubai Mall, Downtown Dubai, Dubai",Dubai,Very Good
736,1,AED,Maharaja Bhog,"Indian, Rajasthani","Ground Level, Hamsah Mall, Next to Ansar Gallery, Al Karama, Dubai",Dubai,Very Good
737,1,AED,Rasoi Ghar,Indian,"Zainal Mohebi Plaza, Sheikh Khalifa Bin Zayed Road, Opposite Centrepoint, Al Karama, Dubai",Dubai,Very Good
738,1,AED,Applebee's,"American, Mexican, Burger","Sheikh Issa Tower, Sheikh Zayed Road, Trade Centre Area, Dubai",Dubai,Good
739,0,AED,Carnival By Tresind,Indian,"Podium Level, Burj Daman, DIFC, Dubai",Dubai,Excellent
740,0,AED,Din Tai Fung,"Asian, Chinese","Level 2 Expansion, Mall of the Emirates, Barsha 1, Dubai",Dubai,Very Good
